exptype,cuetype,gamma,signal,rt,ciinf,cisup
SRT,Valid,0.8,5,1.2464,1.2442,1.2486
SRT,Neutral,0.8,5,1.3887,1.3864,1.3910
SRT,Invalid,0.8,5,1.6718,1.6693,1.6742
SRT,Valid,0.8,0.5,27.5389,27.4990,27.5789
SRT,Neutral,0.8,0.5,29.8707,29.8287,29.9127
SRT,Invalid,0.8,0.5,34.0193,33.9735,34.0651
SRT,Valid,0.95,5,1.7162,1.7137,1.7186
SRT,Neutral,0.95,5,1.8604,1.8580,1.8629
SRT,Invalid,0.95,5,2.1433,2.1407,2.1460
SRT,Valid,0.95,0.5,37.8926,37.8458,37.9393
SRT,Neutral,0.95,0.5,39.8892,39.8409,39.9375
SRT,Invalid,0.95,0.5,42.9560,42.9052,43.0068
CRT,Valid,0.8,5,1.2531,1.2509,1.2553
CRT,Neutral,0.8,5,1.4017,1.3995,1.4040
CRT,Invalid,0.8,5,1.6898,1.6874,1.6923
CRT,Valid,0.8,0.5,31.6398,31.5966,31.6829
CRT,Neutral,0.8,0.5,39.9159,39.8655,39.9663
CRT,Invalid,0.8,0.5,51.9821,51.9187,52.0454
CRT,Valid,0.95,5,1.7215,1.7191,1.7239
CRT,Neutral,0.95,5,1.8721,1.8696,1.8746
CRT,Invalid,0.95,5,2.1612,2.1586,2.1639
CRT,Valid,0.95,0.5,51.1123,51.0513,51.1734
CRT,Neutral,0.95,0.5,66.0535,65.9806,66.1263
CRT,Invalid,0.95,0.5,82.7614,82.6779,82.8450
