cond,exptype,cuetype,mean,ciinf,cisup
cond2,SRT,Valid,4.37507136555,4.3121603713,4.43798235979
cond2,SRT,Neutral,4.79104840015,4.7062239477,4.8758728526
cond2,SRT,Invalid,4.94256756757,4.86780982935,5.01732530579
cond2,CRT,Valid,3.4657285284,3.41665010699,3.51480694982
cond2,CRT,Neutral,3.9367868676,3.87705568739,3.99651804781
cond2,CRT,Invalid,5.19819890368,5.11982010252,5.27657770484
cond3,SRT,Valid,4.33578571058,4.26818673202,4.40338468915
cond3,SRT,Neutral,4.14010545572,4.06996282782,4.21024808362
cond3,SRT,Invalid,4.85666805152,4.78376242758,4.92957367545
cond3,CRT,Valid,3.4699433678,3.41529860851,3.52458812709
cond3,CRT,Neutral,3.44565740889,3.39554435624,3.49577046155
cond3,CRT,Invalid,5.1218975809,5.04757435898,5.19622080282
cond4,SRT,Valid,44.5616,44.088587046,45.034612954
cond4,SRT,Neutral,42.7515,42.2929928394,43.2100071606
cond4,SRT,Invalid,51.1736472946,50.3021680532,52.045126536
cond4,CRT,Valid,51.1913,50.6377397567,51.7448602433
cond4,CRT,Neutral,61.4383,60.7574348531,62.1191651469
cond4,CRT,Invalid,124.049041372,121.286645973,126.811436771
